"key","DoesStateStoreRecordExistBeforeStatus","Cognite_Ingest","DoesTargetFolderPathExistAfterStatus","InstanceDetectedTimestamp","DoesInstanceExistBeforeStatus","DwgDropFolderPathDetectedTimestamp","runstart","DoesDwgDropFolderPathExistAfterStatus","RunId","DoesDwgDropFolderPathExistBeforeStatus","DoesTargetFolderPathExistBeforeStatus","TargetFolderPathDetectedTimestamp","File_Type_Short_Name","CurrentDeleteFlag","DoesInstanceExistAfterStatus","Cognite_Id","runend","DoesStateStoreRecordExistAfterStatus","external_id","runFinished","sourceId","dwg_drop_path_defined","primary_key","StateStoreRecordDetectedTimestamp","target_filepath_defined"
"DummyRowKey","N/A","N/A","N/A","0101-01-01 00:00:00","N/A","0101-01-01 00:00:00","0101-01-01 00:00:00","N/A","N/A","N/A","N/A","0101-01-01 00:00:00","N/A","N/A","N/A","N/A","0101-01-01 00:00:00","N/A","N/A","N/A","N/A","N/A","DummyRowKey","0101-01-01 00:00:00","N/A"
"c1ad2aebfcf2f5b35766109b62cacc01|r120.1hdo.370466","true","Y","true","2026-09-22 18:26:42","true","2026-09-22 18:26:42","2026-09-22 18:26:38","true","c1ad2aebfcf2f5b35766109b62cacc01","true","true","2026-09-22 18:26:42","dwg","false","true","","2026-09-22 18:26:42","true","edmstest_0be1ddac6d9f97814313bce8722ba1e31fac7651","true","r120.1hdo.370466.dwg.pdf","D:\Data\edms\dwg-drop\mtz_test_hasan\r120.1hdo.370466.dwg","r120.1hdo.370466","2026-09-22 18:26:42","D:\Data\edms\target\mtz_test_hasan\r120.1hdo.370466.dwg.pdf"
